# gostim2 version: v0.1.1-1-gdf321bc (Go version)
# Author: Christophe Pallier <christophe@pallier.org>
# License: GPLv3
# GitHub: https://github.com/chrplr/gostim2
# SDL Version: 3.4.0
# Platform: linux
# Hostname: is158520
# Username: cp983411
# Video Driver: wayland
# Audio Driver: pipewire
# Audio Sample Rate: 44100 Hz
# Renderer: opengl
# Display Mode: 3840x2160 @ 60.00Hz (Physical)
# Logical Resolution: 1920x1080
# Font: /usr/share/fonts/truetype/liberation/LiberationSans-Regular.ttf
# Font Size: 50
# Start Date: 2026-03-18 10:48:06.352
# End Date: 2026-03-18 10:48:49.887
# Completion Status: Completed Normally
# Command Line: ../../gostim2-gui
subject_id	intended_ms	actual_ms	type	label	onset_time	duration	type	stimuli
unknown	1000	997	SOUND_ONSET	LaCigaleEtLaFourmi_titre.flac	1000	1	SOUND	LaCigaleEtLaFourmi_titre.flac
unknown	8500	8494	TEXT_ONSET	La Cigale, ayant chanté tout l’été,	8500	1250	TEXT	La Cigale, ayant chanté tout l’été,
unknown	9750	9760	TEXT_OFFSET	La Cigale, ayant chanté tout l’été,	8500	1250	TEXT	La Cigale, ayant chanté tout l’été,
unknown	10000	9994	TEXT_ONSET	Se trouva fort dépourvue	10000	1250	TEXT	Se trouva fort dépourvue
unknown	11250	11244	TEXT_OFFSET	Se trouva fort dépourvue	10000	1250	TEXT	Se trouva fort dépourvue
unknown	11500	11494	TEXT_ONSET	Quand la bise fut venue :	11500	1250	TEXT	Quand la bise fut venue :
unknown	12750	12745	TEXT_OFFSET	Quand la bise fut venue :	11500	1250	TEXT	Quand la bise fut venue :
unknown	13000	12994	TEXT_ONSET	Pas un seul petit morceau	13000	1250	TEXT	Pas un seul petit morceau
unknown	14250	14260	TEXT_OFFSET	Pas un seul petit morceau	13000	1250	TEXT	Pas un seul petit morceau
unknown	14500	14493	TEXT_ONSET	De mouche ou de vermisseau.	14500	1250	TEXT	De mouche ou de vermisseau.
unknown	15750	15744	TEXT_OFFSET	De mouche ou de vermisseau.	14500	1250	TEXT	De mouche ou de vermisseau.
unknown	16000	15994	TEXT_ONSET	Elle alla crier famine	16000	1250	TEXT	Elle alla crier famine
unknown	17250	17244	TEXT_OFFSET	Elle alla crier famine	16000	1250	TEXT	Elle alla crier famine
unknown	17500	17493	TEXT_ONSET	Chez la Fourmi sa voisine,	17500	1250	TEXT	Chez la Fourmi sa voisine,
unknown	18750	18744	TEXT_OFFSET	Chez la Fourmi sa voisine,	17500	1250	TEXT	Chez la Fourmi sa voisine,
unknown	19000	18993	TEXT_ONSET	La priant de lui prêter	19000	1250	TEXT	La priant de lui prêter
unknown	20250	20245	TEXT_OFFSET	La priant de lui prêter	19000	1250	TEXT	La priant de lui prêter
unknown	20500	20495	TEXT_ONSET	Quelque grain pour subsister	20500	1250	TEXT	Quelque grain pour subsister
unknown	21750	21745	TEXT_OFFSET	Quelque grain pour subsister	20500	1250	TEXT	Quelque grain pour subsister
unknown	22000	21995	TEXT_ONSET	Jusqu’à la saison nouvelle.	22000	1250	TEXT	Jusqu’à la saison nouvelle.
